Hour 	Temp 	Dew Point 	Humidity 	Winds 	Wind Gusts 	Pressure 	Precip 	Precip Rate 	Daily Precip Total
12:00 AM 	40.8 F 	28.0 F 	60% 	5.4 mph SE 	7.6 mph 	29.86 in 	0.00 in 	0.00 in 	0.00 in
12:05 AM 	40.8 F 	28.4 F 	61% 	5.4 mph S 	7.6 mph 	29.86 in 	0.00 in 	0.00 in 	0.00 in
12:10 AM 	40.8 F 	28.8 F 	62% 	4.5 mph S 	6.0 mph 	29.86 in 	0.00 in 	0.00 in 	0.00 in
12:15 AM 	40.8 F 	29.2 F 	63% 	4.5 mph S 	9.2 mph 	29.85 in 	0.00 in 	0.00 in 	0.00 in
12:20 AM 	41.0 F 	28.9 F 	62% 	3.8 mph ESE 	10.7 mph 	29.85 in 	0.00 in 	0.00 in 	0.00 in
12:25 AM 	41.0 F 	29.3 F 	63% 	2.2 mph SW 	5.4 mph 	29.85 in 	0.00 in 	0.00 in 	0.00 in
12:30 AM 	41.0 F 	29.3 F 	63% 	3.8 mph SE 	9.2 mph 	29.85 in 	0.00 in 	0.00 in 	0.00 in
12:35 AM 	41.1 F 	29.5 F 	63% 	3.1 mph ESE 	8.3 mph 	29.85 in 	0.00 in 	0.00 in 	0.00 in
12:40 AM 	41.3 F 	29.7 F 	63% 	3.8 mph S 	9.8 mph 	29.84 in 	0.00 in 	0.00 in 	0.00 in
12:45 AM 	41.3 F 	30.1 F 	64% 	1.6 mph S 	8.3 mph 	29.84 in 	0.00 in 	0.00 in 	0.00 in
12:50 AM 	41.3 F 	30.1 F 	64% 	3.8 mph S 	9.8 mph 	29.84 in 	0.00 in 	0.00 in 	0.00 in
12:55 AM 	41.3 F 	30.1 F 	64% 	1.6 mph S 	4.5 mph 	29.84 in 	0.00 in 	0.00 in 	0.00 in
01:00 AM 	41.3 F 	30.4 F 	65% 	4.5 mph SE 	10.7 mph 	29.84 in 	0.00 in 	0.00 in 	0.00 in
01:05 AM 	41.5 F 	30.6 F 	65% 	2.2 mph S 	9.8 mph 	29.83 in 	0.00 in 	0.00 in 	0.00 in
01:10 AM 	41.5 F 	30.6 F 	65% 	6.9 mph E 	13.0 mph 	29.82 in 	0.00 in 	0.00 in 	0.00 in
01:15 AM 	41.5 F 	31.0 F 	66% 	3.1 mph SE 	11.4 mph 	29.82 in 	0.00 in 	0.00 in 	0.00 in
01:20 AM 	41.5 F 	31.0 F 	66% 	4.5 mph SE 	12.1 mph 	29.81 in 	0.00 in 	0.00 in 	0.00 in
01:25 AM 	41.7 F 	31.5 F 	67% 	2.2 mph SE 	13.0 mph 	29.82 in 	0.00 in 	0.00 in 	0.00 in
01:30 AM 	41.7 F 	31.5 F 	67% 	4.5 mph S 	12.1 mph 	29.81 in 	0.00 in 	0.00 in 	0.00 in
01:35 AM 	41.7 F 	31.5 F 	67% 	4.5 mph E 	11.4 mph 	29.81 in 	0.00 in 	0.00 in 	0.00 in
01:40 AM 	41.5 F 	31.7 F 	68% 	2.2 mph S 	8.3 mph 	29.80 in 	0.00 in 	0.00 in 	0.00 in
01:45 AM 	41.5 F 	31.7 F 	68% 	3.1 mph S 	10.7 mph 	29.80 in 	0.00 in 	0.00 in 	0.00 in
01:50 AM 	41.5 F 	32.1 F 	69% 	3.1 mph NE 	8.3 mph 	29.80 in 	0.00 in 	0.00 in 	0.00 in
01:55 AM 	41.5 F 	32.4 F 	70% 	6.0 mph SW 	9.8 mph 	29.80 in 	0.00 in 	0.00 in 	0.00 in
